paper_id,fluid,channel_type,D_h_mm,G_kg_m2s,P_kPa,delta_T_sub_K,Ra_um,theta_deg,surface_cat,q_onb_W_m2,delta_T_onb_K,source_fig,digitize_date,notes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,33.43653967582729,fig10,2026-05-28,parity ΔT_ONB; x=predicted(22.96°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,30.09780787765436,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.04°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,36.31516985460328,fig10,2026-05-28,parity ΔT_ONB; x=predicted(18.05°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,33.45662860633335,fig10,2026-05-28,parity ΔT_ONB; x=predicted(17.50°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,32.49671096652153,fig10,2026-05-28,parity ΔT_ONB; x=predicted(16.03°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,32.11987793406273,fig10,2026-05-28,parity ΔT_ONB; x=predicted(15.62°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,32.500488943150735,fig10,2026-05-28,parity ΔT_ONB; x=predicted(15.21°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,19.506185624064,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.12°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,19.05531209234135,fig10,2026-05-28,parity ΔT_ONB; x=predicted(19.60°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,19.973724892968615,fig10,2026-05-28,parity ΔT_ONB; x=predicted(18.04°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,17.976157843840305,fig10,2026-05-28,parity ΔT_ONB; x=predicted(17.04°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,21.17443910846129,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.04°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,haynes_rod,-1.0,22.982919599585053,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.94°C); series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,17.5514659194224,fig10,2026-05-28,parity ΔT_ONB; x=predicted(21.02°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,16.553950127548166,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.12°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,16.555874643440475,fig10,2026-05-28,parity ΔT_ONB; x=predicted(19.09°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,15.435365849807775,fig10,2026-05-28,parity ΔT_ONB; x=predicted(17.04°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,15.528203414350015,fig10,2026-05-28,parity ΔT_ONB; x=predicted(16.02°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,13.893697701146232,fig10,2026-05-28,parity ΔT_ONB; x=predicted(15.07°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,22.586940217118375,fig10,2026-05-28,parity ΔT_ONB; x=predicted(19.10°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,23.53014443514214,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.13°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,23.38561448208428,fig10,2026-05-28,parity ΔT_ONB; x=predicted(23.05°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,20.563328669851973,fig10,2026-05-28,parity ΔT_ONB; x=predicted(19.86°C); series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,4.0,ss_rod,-1.0,21.423689513305124,fig10,2026-05-28,parity ΔT_ONB; x=predicted(20.21°C); series=Past_theta04_R11-SS
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,5.0,crpt_rod,-1.0,30.5940303522231,fig10,2026-05-28,parity ΔT_ONB; x=predicted(34.95°C); series=Past_theta05_R113-CrPt
basu2002,R-113,tube_circular,9.5,-1.0,101.325,-1.0,-1.0,5.0,crpt_rod,-1.0,26.434970781732066,fig10,2026-05-28,parity ΔT_ONB; x=predicted(29.08°C); series=Past_theta05_R113-CrPt
